,business_id,positive words,negative words
44,7mMRxAxiPvhyLvbmhnGFsQ,,"service,steak,time,minute,fries,taco"
45,9-3de3NJte9Y2YsE3yl2EA,,service
46,Kbidfh24_7-a380tovQeYA,time,"steak,service,price"
47,24hc1g8a7besgI0tMb3v7w,taco,"time,lunch,service,chips"
48,2tKGpV_M8KBo47CJXRs77w,,
49,a9aW5e731lplWGHUZ02-zQ,time,"dinner,burrito,meat"
50,XDYCIRENiT2doRZgwNJ3SA,"taco,asada,price","burrito,service,chicken,time,lunch,fries,meat"
51,hySFMXFqyb7rNuxS8koNrQ,"minute,service","time,staff,taco"
52,0rN_o7_IfshAHQwzMUK8nA,"staff,lunch,manager,chicken","wait,service,time,chipotle,line"
53,zgAh21YWYaZUSEGi_E5SVg,,"burrito,service"
54,Ouh38adC9WbCRSSyYGtL3Q,"dinner,chicken,time,waitress,salsa,margarita,lunch","salad,service"
55,036SeqOKaKx89Liw5RDKqA,"burrito,service,price,beef,time,fries",
56,lVULxfPrpjnlOzF_jilRAA,"drink,burrito,staff,time","rice,service,salsa,salad,margarita,taco"
57,rfdMlP5V4p37n3cDDGLFbg,"drink,chips,salsa","taco,lunch,service,price"
58,PpwnEPXJwxnmBveEjgb5-w,,time
59,kZ36LGvnwetEq-seqwhkkw,"atmosphere,nacho,staff","dinner,time,lunch,service"
60,Ktia9NJfvxVxTLVcEnw9zQ,,"time,service,salsa,price"
61,DfD-xc8788c081WiFjluTA,"beer,lunch,service,price","time,taco"
62,bxTieCzz5_RxGKp3N4E6MA,,"taco,fries"
63,NjDC1Evc2Wa6ykj8xVpoUw,chips,"steak,time,fish,service"
64,tyjquHslrAuF5EUejbPfrw,,"time,chips,chicken"
65,_Fo8uNT17BEBUkKvUXCZkQ,"time,asada","staff,pork,lunch,taco,meat"
66,mGriYfWJcLJGjkuqr0a5OA,"burrito,lunch,taco,asada,fries","time,service,breakfast,price"
67,lSO9qpXaZZWufIZzH5L1IQ,,service
68,4ZNr_HOSCXMCzY4xN4WACA,,taco
69,kDkHOrLyYfzvIeus7GMr-g,,time
70,51K92JdkWICGDvvVCBYhFA,"shrimp,burrito,fish,time,manager,salsa","service,chicken,line,steak,taco"
71,mHOyR-RZBxCABm-Svga8Ow,,"taco,service"
72,-PKUAor_Nz_IaNjP_jIwyA,,"dinner,atmosphere,service,chips,salsa"
73,9EkpAzQGQuIguaV12Zxn-A,,
74,8Rydf8hXleCwbCN9nvmZ4Q,burrito,"wait,staff,service,time,chipotle"
75,aHuGV6FS0j8_1_p9vFeNuA,"dinner,margarita,service,chips",
76,b-bHa-ziECvPpp9AsTBlRw,service,"breakfast,chicken,time,lunch,taco"
77,50NTSGbZ3pN5643_K1IReA,chips,"time,service"
78,GdpiEeG8oe8BnpMaENJLfg,,"taco,service"
79,wdwODzBChLIh_u8V8CPpyA,"lunch,vegan","dinner,table,service"
80,WLblFINiPI18_o1OdDsnVg,"pork,service","salad,lunch"
81,mx6YUarYRhXxUqXiJ6mbIQ,,"time,staff,lunch,service"
82,7_YOEQXlrbGpF9t9TPG_nQ,"burrito,asada,taco,chicken","rice,time,service"
83,jxaF8MS1rrHEXfw-IyV5Fw,,"service,time,taco,manager"
84,VFv7NcPW9ajUTLleJ8wOQA,"burrito,lunch","chipotle,service"
85,BsxefnHbrpDN7HB2hJrEiw,"steak,time,taco,service","burrito,price"
86,LdHtEVDZQhlz2N98IqcYUg,,"wait,taco,service"
87,rl137V_5Hx0cJAV4beVdhA,"beef,dinner,chicken","service,quesadilla,guacamole,tortilla"
88,E-_5sSD4Ofc8s7I8bMSidA,"shrimp,steak,staff,price","burrito,pork,chicken,time,fries,meat"
89,nekpzd-Nsg7ZsCAIHUkhmw,,staff
90,ZLRI8ZjrzEm5fRW-ahGz_g,"burrito,asada,fries,chicken","shrimp,time,taco,service"
91,eNeBda4br3HMg15-_jwokA,,"service,time,staff,price"
92,fYTfTGqseS7rJk9AMt2zvw,"time,lunch,taco,chips","burrito,service,chicken"
93,4DBboC1xv7Lr8KYVAw9LRA,,
94,dddUz7IweLuFYelc3ZIyNA,asada,"steak,rice,service,chicken"
95,8wFiWvlfOVt1zvAvsoLw2g,,"service,burrito,asada,price"
96,02eESJZNF3qigrJ3GNRgIQ,,shrimp
97,-UxAJfViirpbkbth6_RKTw,,
98,d8lmIZIqmBC9oPM8y1dc7Q,"guacamole,chips","service,time,salsa,steak,patio"
99,j3csEfGzkwnXATdRoZDT-A,"burrito,enchilada","time,lunch,service"
100,ViJGzET7fBMShhIgKew2Bg,"atmosphere,staff,chips","time,service"
101,VONg0lyHm7fUdARWjkkjCQ,,service
102,xo1rcGb73pTSxzFB_9nEbA,,
103,5rZxENz57t-SDv1tIS8lOg,,"staff,salsa"
104,KbhrsTQEea2RF_94YWnBdQ,"asada,fries","table,lunch,price"
105,erxmOSNUvDCmglakNyWfKw,,"lunch,chipotle"
106,c5TOGBUCCUUNBPM7h_KbmQ,"salad,taco,price","wait,burrito,staff,service,breakfast,time,lunch,asada,chile,meat"
107,JvqnkVL7dvpucjhKRsWjrw,"atmosphere,staff,service,salsa","drink,dinner,time,lunch"
108,xDHuJaOQ5HqaLP0zgpJD9w,taco,"burrito,service,time,tortilla,manager"
109,a6RZ3ampzMPiu0drkw9WWw,"dinner,time,beer","margarita,lunch,price"
110,qgixm44W9chBRmjHif278g,"wait,staff","time,service,breakfast"
111,TLEO3CpoJ0R7UKHvRb8fVg,,"service,breakfast"
112,WFB1fn8rWNukmmIfTg6AMw,"time,taco","staff,fish,service,chicken"
113,46hnat0aLao-qYWZkN9aBg,pork,"wait,service,time,salsa,atmosphere,chips"
114,NbkDsQhfK13ATV79TI4OQg,,"chipotle,service"
115,70w-yovIqsTQRe1azP7FiQ,,"taco,lunch"
116,vAFyzyLTxHhmS2NYvWXXSg,price,"service,time,taco,meat"
117,UqhVZYUeoBGroYpZB-9jlQ,wait,"dinner,staff,service,chicken,time,enchilada,lunch"
118,f5sSn5cO4t6mF_mdnzKkyA,"salad,time","service,salsa"
119,FkdG2Qsh0V2UmrEOn_ImDA,asada,"time,guacamole"
120,vo8L42IzyEAIbEy51eiwQA,"burrito,salsa,enchilada","steak,table,service"
121,hifhQ-zx4g3JMoP8CxtDwg,,"burrito,staff,lunch,chicken,steak,meat"
122,_cBlppMDZYXS-Bjj4l9qtw,,"drink,staff,service,breakfast"
123,L4H5cnC-AHlOlkIwIwnQnA,,"time,service"
124,VoTi4yVhTVyFdmxUpoyUsg,"burrito,line","asada,lunch,price"
125,CCNp1qS8n2gh51X7Wadabw,"shrimp,chips,salsa","time,service"
126,qx2mnMgIb9PCx8crz17G9Q,,service
127,K4ibWLIMnbqwLzVkAlHFzA,,beer
128,l-D0uS-tgmhkFpHKBXvPQA,,"rice,time,staff,chicken"
129,IZUDXIq5SULhQ5RGLCdB7g,"quesadilla,price","chicken,beef,time,lunch,steak,taco,meat"
130,kkD5pal9rRzE4PjeYSL9mA,meat,"burrito,service,chicken,time,manager,taco"
131,82j2FxOIY7gud1IRglm1aw,service,"time,staff,taco,price"
132,Nb3hAuv8OkpFgSImYdt3Rg,,"staff,line,chipotle,service"
133,oGYXSVs0ympLy0ur8Qnp7g,taco,"dinner,time,asada,service"
134,gEnhbaSVAZgGPmRQEwgN2A,,"dinner,burrito,fish,lunch,taco"
135,GKyowVZZ7_E1KdxCZi8_OQ,,"steak,fries,service,price"
136,b65Ugu0VDKDNbLq7sW9RDQ,time,"burrito,fish,service,beef,enchilada,salad,taco"
137,Ja4stXdNYr39u5CZHMNtjw,"drink,dinner,atmosphere","time,service"
138,_qh5RDI84nVGwZiYDvCoyw,"rice,taco,lunch","wait,burrito,fish,service,guacamole,time"
139,o5Mofj5KJkYAMs_fhxftpg,"steak,burrito","taco,service,price"
140,A8MmwHrMI0WnRTyQMdf8aQ,,"burrito,staff,service,time,chipotle"
141,WgvJcTe_RdlIfnvxEzn2Mg,"staff,breakfast,chicken,asada,fries","beef,burrito,taco"
142,AIEyiX9-yfXQgvLOtBgFgA,"dinner,lunch","service,chicken,time,salsa,steak,taco"
143,cf0LXwdYZ_9y0BVK-un9ow,"asada,staff,fries","fish,service,time,salsa,lunch,chips,meat"
144,vqEtZ7CtNB9G8WMzjwJA2g,"patio,price","dinner,lunch,service"
145,0G1y7uV7w1D2uziS4Lt_Dw,drink,"time,staff,service,enchilada"
146,EozEGL29WftitEANtx3vaw,,"dinner,time,chipotle"
147,A4uc3-zbHowQeR_u-7VNOw,,time
148,JMpATuCfHzeP-DASD7DpXQ,,"steak,burrito,breakfast"
149,W-ncMUrOh5RzHvAIKJp0rg,"time,staff","burrito,fish,service,nacho,taco"
150,u5U7iPk2D6SPprqlT7yTGQ,"burrito,atmosphere","taco,fish,breakfast"
151,BsC8_eQMJ16Hg_wlsFi8jA,,
152,lnv844c86Q-UMtBHxqDUEg,,"wait,dinner,staff,time,tortilla"
153,gOOfBSBZlffCkQ7dr7cpdw,,"dinner,time,staff"
154,SUd3IyEN7n5OYEGyt_U5lg,service,"time,taco"
155,9WtEKbNGOU-wo2Gic1hUpA,,"asada,tortilla"
156,HPngBhTmMOXbQI9Noppeaw,staff,"wait,burrito,time,chipotle,line,steak,patio"
157,hFK8uBuuwZgyCMYAis60MA,,"time,taco,service,breakfast"
158,k-drEjxKmfqllwfY90STfA,"wait,guacamole,time,minute,lunch","dinner,staff,table"
159,URGUzMJRhK5gLQKC4UztTQ,,"service,manager"
160,da_QOspls2XoU5AZ6QNcww,"shrimp,staff,fish,chicken,lunch",time
161,TectsyEvH5vmlgtYQ7Sjsw,,
162,eJPckkV1k7gn0V2awA1pzA,lunch,"rice,burrito,fish,service,time"
163,i3oRRwl3RWOxKfTtiJbliw,,"burrito,taco"
164,75i9St7QE12NX5JM-Zt90g,,staff
165,vUJhUVmRMn9T4gsmz-L_Yg,asada,"salsa,chicken"
166,AUl6myFhTAbEqt0GMdKHiw,,"time,chipotle"
167,TGlCiibIB2IxZwVzBjC2ng,,"time,taco,meat"
168,kOUnvmGamiw90BfmthoQGg,"dinner,staff,lunch,chicken","wait,waiter,service,beef,time,salsa"
169,MpAhuv_BBhYHDElgx1pD4g,,"burrito,line,chipotle,quesadilla"
170,ntkeyTQNc735Dr-yjGd_IQ,"shrimp,time,service","taco,line,staff"
171,bEmaq87n2n7_t2dZpUDziw,"breakfast,chicken","dinner,staff,service,time,atmosphere,lunch"
172,9Q1ZtzTPFWG4fJiFSko5Xg,"dinner,waiter,chips,salsa",time
173,OaDijC3QRwxw9uTadyWIsw,,dinner
174,ddplAthoA2pGLoSqhHpVkA,taco,"burrito,lunch,service,salsa"
175,_v7lMUtdd6WlgKUEBLA_VA,"margarita,chips,salsa","staff,service,time,waitress,lunch"
176,9q8phddM1YWNKZVepKi6iQ,,"staff,service,drink,time,taco"
177,rMVi-Vn_mN_X9J1ZSl1lWA,"burrito,fish,enchilada,steak,taco","guacamole,service,time,tortilla,lunch"
178,_HU30V8E6vuENIDsb0r82A,,
179,QaMb5uqUmC4Zm4aNVzM8kQ,"dinner,guacamole,service,lunch,patio",time
180,15LVDu1_v97JEx-g97wnfA,bacon,"salad,service"
181,lVfZ2AaYRYHCFenUMQna8g,"burrito,chile","service,breakfast,lunch,price,steak,taco"
182,AXQ6qAqYhB7sTrS0BY2ymg,,"taco,service,meat"
183,EagobNqcGL5Y5LoVcyoX9A,"rice,staff,guacamole,service,chicken,salsa,lunch,chips",time
184,hJda5g5v_2rT3D-3mSf7cQ,,lunch
185,2vr2yGIzSehe_ITFamNpyw,"time,chips,chicken","taco,asada,service"
186,426RL7G7oTyu-f8jFxVRJQ,"wait,taco,chicken","chipotle,service,price"
187,oVdcOfPFUHae6vRnAEzFFg,,"burrito,lunch,breakfast,asada,chips"
188,mswelTP1cQiuAps2fSGuBw,service,"time,fries,manager,bacon"
189,PQWE8a6Opjiuzt7DaX2R6Q,dinner,"time,patio,service"
190,juFdbC8ihaQUturmM9rryA,,lunch
191,dODimuyIJGIxER5uzX5WuQ,"fish,chicken,time,price,taco","lunch,service,meat"
192,8KEB1lcjKlIVSd6uA8JB9w,,"dinner,service,chicken"
193,YbsnQgu_3OmNYsCMXegeHw,atmosphere,"dinner,service,time,lunch,taco"
194,5lw5rrhFMz-liykUn8dGSw,taco,"steak,pork,service,price"
195,sygVFA8ZOprx18lS5d6keg,,
196,UU1Zfl25ChVRoGlY39y_eg,steak,"staff,service,breakfast"
197,4UmjnX46qbhV6-D5W89IOQ,lunch,"service,time,line,taco,fries,meat"
198,SDdB_gFAWW23cNmtwT-dAA,"staff,lunch","drink,taco,service,salsa"
199,YQHTkxWKgrrFLr8dPaXLVw,,"burrito,staff,lunch,service"
200,vLO7WdSy53qYHXl_PiRf1w,,"dinner,lunch,service"
201,I779CNMLWhZu6BxkGfLvwQ,,"dinner,staff"
202,IYedXxcwJJwxv-6DpMPvtA,lunch,"wait,time,price,service"
203,RgqetGtygIGTHYhysPLktw,staff,"lunch,service,chips,guacamole"
204,37n2MtSu1Xe8j1ci8jd-0g,,time
205,jqAdZf9PJo8lsRskc6T1Sw,lunch,"salsa,service,chips"
206,Sh_c-UZ8Tk_H1porVieNmA,"time,breakfast","dinner,table,lunch,service"
207,eNMNXsMjT_PJ5sslcmoYQQ,staff,"taco,nacho,fries,service"
208,seJ7Hlwr583gNGkT3amzIA,,
209,_6mvQX9x66oz046eS5ii8w,"beef,service","guacamole,time,salsa,lunch,chips"
210,v57Aq8TlBOrzo2j4SSpWCg,guacamole,"time,service"
211,hI-1qtiZmdyPHD-_i7LHFg,,"burrito,pork"
212,qdG4tYLHKJ33Rut7BQM-Zg,,"drink,staff,fries,service"
213,URwrgfuyfpVqgnKwkawlHw,"time,asada,fries,service","burrito,breakfast"
214,m2WXjeA959-YC1MzzA0APg,,"burrito,chipotle"
215,KUbCQ2ah__c5x0q_6b4oTA,chips,"shrimp,time,service,chicken"
216,fuQpzuHPLt8pnJ49j74qCQ,beef,"shrimp,rice,salsa"
217,78hGCrQ6wLA2yh8zMywnmw,"pork,chicken","service,time,taco,beer"
218,OFacUbdk0t-GJ83GQ83LOw,"wait,dinner,chicken,salad,lunch,steak","service,burrito,chipotle,taco"
219,mrjhrTycW0iLumjMZCfrzw,staff,"time,service"
220,jxFYZlq8r_iNv4FWp4_nhQ,,time
221,iXnHrmTw-r6LNzC2MjjrWQ,,"taco,pork,service"
222,U-gBybV1KIqfRIzkWXzK-w,"lunch,patio","time,taco,chips"
223,8EIZAb0knT2u_z2gIxllXw,"asada,fries,breakfast","wait,burrito,staff,service,chicken,tortilla,quesadilla,steak,chile"
224,r76Jr-MchYOobglY6TguzQ,"steak,pork,service","time,taco"
225,cbbidA4huw2XQQWlmbUQgw,"atmosphere,lunch","time,service,chips"
226,zWrwVNAvrtVAhcDRWJJMEw,,staff
227,ibOX3CypYVz0nJhCN5Wmcw,,"burrito,guacamole,service"
228,9cflYye_S2xNeb3C0mG3ng,,"shrimp,rice,service,time,table"
229,mES9E5K4HbYoPFXGv0pUuw,"staff,chips,chicken","dinner,burrito,fish,service,time,lunch,taco"
230,5WOE18ldtQ1U0MK5fN2HGQ,"wait,staff,fish,service,lunch,taco",chips
231,nEQFnHydeX2A3bRRDAKqQg,,"atmosphere,patio,service"
232,VH2BjFjc9usDquDgoHhptA,,"dinner,lunch,service,chips,salsa"
233,pJdPcHkqtaLF47pS0LxdYQ,"dinner,time,lunch","service,waitress,manager,salsa,meat"
234,jpKL9pSAXStao15pXvsxcA,"burrito,margarita","waiter,lunch,tortilla,chicken"
235,CLthP1yn32xlBswIbsLIjQ,"time,manager,price,taco,asada","chicken,lunch,meat"
236,GRs6OxKZREAwA_Nmp2GmVw,,"burrito,asada,price"
237,KGqvUQQA4c9GJpi5-znsew,,"burrito,service,breakfast,time,taco"
238,dT2zkQTpGJU1RP_eH4mKfA,,
239,nIskoP3-_MttghA3d-eYBA,"shrimp,taco,fish,service","lunch,price,meat"
240,V5K2K2U0JaBL5UPaZYJkSQ,,"burrito,lunch,service,time,taco,salsa"
241,xqpjZakCEWarm9jfzoYfWQ,,"taco,vegan"
242,orjSfu6Gcv2SQlXVsXdVBg,"wait,beef,chicken","guacamole,time,salad,lunch,steak,taco,meat"
243,XRtelzecxvhGtG4h7Xdxsw,,"beef,asada,meat"
244,7pkiQvVfcsa-wtBEeNHHUg,"atmosphere,staff,chipotle,chicken","burrito,time,service,meat"
245,Ls1NqcogI-szYoQ7tLh4Og,"service,price",
246,ujfIrNpNM9D020nPL4znRQ,"burrito,chicken,time,asada,fries","wait,taco,line,service"
247,ti1bb30WwnkDLuVvpTM6fQ,"shrimp,fish","dinner,time,service,price"
248,TOrphxql7UfJ77vXG4G4aQ,,service
249,pGwfOqNEL8FbMUFspJdAMA,,"burrito,guacamole,service,taco"
250,-Ut87cwGFsO3444Rd11p0Q,"time,asada,lunch,taco","dinner,staff,breakfast"
251,SVGApDPNdpFlEjwRQThCxA,"staff,lunch","time,waiter"
252,w34pLtetsY3TkkPJQdLOVg,"salsa,chips",
253,Kx0MUrNQ737s-VVElk6Vig,"wait,staff,breakfast,time,lunch",service
254,n-y6kw55Tn-5Get2TkWgeA,"shrimp,taco","beef,time,service"
255,r8Jr-7YfkhJL2nxk9lxUNg,"dinner,lunch,chicken","margarita,service,chips,salsa"
256,o7alpkgY_6m8WvJBdaJDfg,,"steak,burrito,service"
257,ibf4xvHWD4t1DOOZhidHBg,,"margarita,fish,service"
258,e01WELWR6ODCder7onrIlA,,"service,burrito,asada,taco"
259,UZ34XAw1GJ3chCOuKL69Mg,tortilla,"staff,service,time,manager,lunch"
260,S4AxMho1JHup_WMNzaBodA,,"time,burrito,quesadilla,service"
261,lv5Bnqlt93NnvNJ2oNcQ8Q,"shrimp,salsa","beef,taco,service"
262,CeuTRtwsq6w5rztGOyNMPg,,"burrito,asada,fries,chips"
263,fGnILhhgE393e-8X9JIB4Q,"dinner,burrito,fish,salsa","staff,service,chicken,time,atmosphere,lunch"
264,dQwjYLmQXb06CpMPIpm5-g,time,"atmosphere,staff,service"
265,M4hsEeuLRRviYsdUPfaUcQ,,
266,64Pj9JV8jPOizCKpFI7Y2g,,"salad,time,fish"
267,iBJkMN312pYODkVPIa2U6A,"salad,burrito,manager","service,chicken,lunch,steak,meat"
268,Ekxhn3gyMfoXslnVxhZn3w,,taco
269,reMD4XrJSJ-bQ185AmZL3A,"fries,staff,fish,price","time,taco"
270,gT4gngtGKYOW-jl5UIBahg,steak,"burrito,staff,service"
271,2HxaDXZmAOH6LiuzGgNdPA,,"wait,staff,service,chicken,time,minute"
272,9YnK_lZ7lInd81BURIk3Ew,"burrito,staff,service,time,chips","rice,taco"
273,g5ONhK7zj79bdeDIv9Xzpg,,"dinner,burrito,staff,service,taco"
274,6U5QlK84UmPUgoJAwAcL9Q,"time,fish","taco,salsa,chips"
275,eUi3O-8Gqh_nJ_ZhO-25gQ,"shrimp,steak,meat","rice,burrito,staff,chicken,beef,atmosphere,price,fries"
276,o1Pjim5n8xJjjAE_v4RiHA,"burrito,time,staff,guacamole","minute,chips"
277,mss-LiOfL1vtoNo3WoEoJw,,time
278,Oroaoa5XQuu0bolzocyZDg,,"service,time,taco"
279,T1lOHMIas_PSflKY7duF_g,staff,"chipotle,service,chips,chicken"
280,9t8PEynZGVCG1EjOQr1xBA,,"burrito,quesadilla,chicken,time,taco"
281,yAXWKWRTs4wNy-zrJgoeXQ,"waiter,service","wait,steak,taco,minute"
282,IiTLzksQAv9U8CW3s0bmlg,"burrito,staff,lunch,breakfast","time,fish,taco,chile"
283,feXaud0exONNXlUu1m9DZg,service,"time,staff,lunch"
284,LwH0uzsl_Rsb5MsJqaNc6w,,service
285,-uqIK0vIzD_7PrnCgwhlHA,"beef,line,lunch","burrito,chicken"
286,ZLrDrRo1Vy03HJka4KVb9w,"wait,dinner,price,steak","waitress,service"
287,04ZtW6rq8rPYD-kLhNY2_Q,"staff,margarita","patio,service,time,salsa,atmosphere,fries,chips"
288,Tyu7VY1fM7DnOuOC0G714w,,"guacamole,salsa"
289,nICEDIVnk6OJZMaDr1Dz3A,,
290,s173l3ubdDLHeFIBO3ydrw,"staff,service","rice,burrito,time,line,lunch,quesadilla,taco"
291,n4HJ0fTMwMEGx07tzhN7Gw,,
292,5Mp-PD_CUaPoJr6CP-WBdA,"shrimp,fish,salsa","steak,service,breakfast"
293,3X-jhrbCSMv5hfUS02xdHA,"beef,price","service,time,salsa,lunch,chips"
294,OCFBflnJKmGyTgGpK7X7eQ,"wait,steak",time
295,AMktMQpUKosTCP_R4c-h6Q,,lunch
296,hDlDKfFpUCW47lifcGZSNg,"shrimp,lunch,chipotle,breakfast","burrito,service,time,price,taco,meat"
297,6tCMxC7Etf--WYEd-EiprA,"burrito,asada","staff,service,time,lunch,taco"
298,H-3l48X4ANDJeok4OxS2Vw,,
299,OQzCZQl9BLU6d1HBxbCHCQ,"time,staff,guacamole,margarita",service
300,2EseSYpIwW6JaA0wUojd4Q,"waitress,lunch,taco","wait,staff,fish,service,time,salsa"
301,Cd3InBI7yCeXjf6xKv4jbA,"lunch,price,breakfast","burrito,service"
302,Pw06ajii6di7QHYpj6IgkQ,,burrito
303,x-HiCsQUNdtbghzW4_ra2Q,"time,service","salad,taco,lunch"
304,Xee2PYoYYSue1WXMJIGaPQ,,vegan
305,0rjArZxONWhzsr58ddAeEQ,,"burrito,service"
306,RGmBfqdFb0giLPG-SZbQUQ,,
307,qUqmTlchliF55jF7s4Xlmw,lunch,"staff,line,service,chipotle"
308,WB8BmFMORvshjb7tBw0e0Q,"time,fish","taco,salsa,service,chips"
309,SxqNnm4piAlFNNiBaXM0kg,"burrito,lunch","taco,service,price"
310,mWEltFSw33nARGPLvZiAJw,,"time,taco,salsa,price"
311,qHseX2NHeUUedIgs_VasZA,service,"time,taco,chips"
312,GOgDg2AgQrXhhtioBC-tmQ,,
313,9iNrlCktKG4QKgQra10EDQ,,"time,burrito,chipotle,service"
314,EUgHFeAvock2Ut3iWPlG8Q,,"time,taco,lunch,service"
315,ONVn_LHEIdGldnyeR7pl8w,"burrito,staff,time,line,lunch,taco",fish
316,mFzawhJ-qGsfnzGaBTt8Vg,,"taco,fish,chicken"
317,n2dhdtnOzqeAKSn6s3nQSw,time,
318,Sx4aZlryBbLsjr8eQngEqA,staff,"dinner,time,taco"
319,vtJe3fNnpg89UJR2M1SNcA,,
320,UJb1PrUWDFfuzwUPc1pP4Q,"beer,atmosphere","time,staff,patio,service"
321,DaTQLers4x_DbGPi7r_xVw,guacamole,"burrito,pork,chicken,time,taco"
322,1p6qHrapvuKpbZGLT9qskw,"dinner,taco,lunch,patio","time,fish,service"
323,bQxCdnbnR5WPBxIAuPY6_Q,,patio
324,YBb-sAYuFv86MGfwQP5Ojg,dinner,"rice,beef,nacho,taco,meat"
325,zdW81Pk8Q3jA5sMj9AHOrA,,lunch
326,JA5GJINnaQQxKfoTUOBAOQ,"burrito,asada",taco
327,7phGRr7Z36IrET7zDKD3Pg,asada,"burrito,service,chicken,time,waitress,manager,salsa,price,taco"
328,5Hq5gPxm05J9V_EhhOf54Q,dinner,
329,zTkMh_RUVZW-J3lh7-l09Q,"waiter,atmosphere","dinner,service"
330,wHxe_D6_MPhMLNuHVLMIqQ,"dinner,burrito,service,breakfast,taco,asada",
331,Ufa7MJ3yDDIMFkYctnhT8Q,,"rice,chipotle"
332,G-uuABMCbX0MYf0gQDVfKg,"time,price","staff,margarita,service,manager"
333,p4YvOzp42g3JzlXJny8F0g,"guacamole,service","rice,staff,time,atmosphere,margarita,taco,chile"
334,Lvn3RqiiAUYrWIy6FC-5Ow,"beef,atmosphere,taco,staff","dinner,time,margarita,service"
335,_BaA052qAWqhKbCQ4s-_8A,,waiter
336,PrwXfYk-EZpiw5aehyBzzg,,"dinner,burrito,asada,service,breakfast,time,minute"
337,5KgZD0CDNpUjbdV7OjUuXA,"lunch,guacamole,patio","wait,service,chicken"
338,jWHr_b19C1SjRvfI9jbdmQ,"burrito,chicken,time,lunch,steak,taco","asada,guacamole,service"
339,UGiMMw54qYxac0eE_cBbaA,"pork,fish,service,breakfast,drink,chips","dinner,time,burrito"
